"LLAVEVIV","P0_1","P0_2","P0_3","P0_4_1","P0_4_1A","P0_4_2","P0_4_2A","P1_1","P1_2","P1_3","FOLIO","VIV_SEL","ENT","TLOC","REGION","EST_DIS","UPM_DIS","FAC_VIV"
"0679604","02","03","01","2","","2","","04","1","","06796","04","07","4","6","039","00450",4023
"0679703","02","04","01","1","1","1","1","04","1","","06797","03","24","1","2","138","01614",1185
"0679817","04","05","01","2","","2","","02","1","","06798","17","24","2","2","135","01582",2162
"0679903","02","03","01","1","1","1","1","03","1","","06799","03","26","1","1","151","01773",2173
"0680004","03","05","02","1","1","1","1","04","1","","06800","04","21","1","5","121","01434",4829
"0680118","03","04","01","2","","1","1","07","2","02","06801","18","16","4","3","089","01112",3033
"0680214","02","03","01","1","1","1","1","04","1","","06802","14","01","4","3","003","00008",1437
"0680304","02","02","03","2","","1","1","03","1","","06803","04","12","1","6","065","00899",2951
"0680403","02","03","01","2","","1","1","01","1","","06804","03","19","1","2","106","01283",3163
"0680505","03","06","01","2","","1","1","08","1","","06805","05","19","1","2","107","01306",3229
"0680602","02","05","01","2","","1","1","03","1","","06806","02","19","1","2","107","01327",2924
"0680702","02","03","01","2","","2","","01","1","","06807","02","26","1","1","151","01788",1815
"0680801","03","05","02","1","2","1","1","03","1","","06808","01","02","1","1","011","00137",2455
"0680913","02","03","00","2","","2","","03","1","","06809","13","15","4","5","083","01024",5447
"0681004","03","11","03","1","2","1","1","04","1","","06810","04","21","1","5","122","01451",4613
"0681101","03","04","02","1","2","1","1","06","1","","06811","01","01","1","3","005","00028",1464
"0681204","02","02","00","2","","2","","03","1","","06812","04","08","1","1","044","00500",2795
"0681301","03","05","01","1","1","1","1","02","1","","06813","01","08","1","1","045","00530",2985
"0681404","01","03","01","2","","1","1","02","1","","06814","04","09","1","4","048","00581",3904
"0681504","03","04","01","2","","1","1","05","1","","06815","04","10","1","1","055","00824",1339
"0681605","02","05","01","2","","1","1","02","1","","06816","05","04","1","6","024","00261",646
"0681701","03","04","01","1","1","1","1","04","1","","06817","01","20","4","6","113","01393",3021
"0681805","03","06","02","1","1","1","1","01","1","","06818","05","14","1","3","080","01003",7520
"0681914","03","04","01","1","1","1","2","04","1","","06819","14","13","4","5","071","00936",2779
"0682004","02","04","01","1","1","1","1","02","1","","06820","04","17","2","5","094","01150",835
"0682102","03","05","01","2","","1","1","03","1","","06821","02","05","1","2","030","00351",1464
"0682201","02","03","00","1","1","2","","02","1","","06822","01","29","3","5","169","01986",1167
"0682301","03","05","01","1","1","1","1","01","1","","06823","01","18","3","3","100","01211",1520
"0682401","02","04","01","1","1","1","1","04","1","","06824","01","26","1","1","151","01788",1815
"0682507","01","04","01","1","1","2","","01","1","","06825","07","13","2","5","068","00927",1392
"0682605","03","04","02","1","1","1","1","07","1","","06826","05","03","1","1","017","00197",604
"0682706","02","04","00","2","","2","","02","1","","06827","06","24","4","2","137","01595",1121
"0682803","02","03","01","1","2","1","2","02","1","","06828","03","05","1","2","029","00301",1649
"0682902","03","05","02","1","1","1","1","04","2","02","06829","02","09","1","4","050","00748",2232
